                                 p1            p2            p3            p4            p5            p6            p7            p8
                          34.2590       32.7555       30.5493       27.3318       23.0700       17.7733       12.4020       6.95309    
                          2.77910       1.65389      8.138151E-02  0.243874      0.452612      0.892707       1.82616       3.90262    
                          8.08987       15.3966       26.8069       41.6816       32.8793       25.1968       20.6127       18.1767    
                          16.7689       15.4284       13.7420       10.9524       8.56220       8.02852       4.91382      0.173162    
                         0.458903      0.725329       1.30826       2.67735       5.89619       11.8371       21.3178       38.3562    
                          77.7424       24.5387       9.96099       6.39522       5.85905       6.47316       7.36803       8.29142    
                          9.53252       10.2729       13.6465       9.50214      0.297610      0.722231       1.10074       1.95384    
                          4.07425       8.55104       14.4629       20.8951       32.9275       3.12390      -28.6342      -10.7345    
                         -3.82344     -0.735741      0.899503       2.27068       4.24050       7.17414       11.6714       19.0344    
                          16.5476      0.433180       1.08784       1.61771       2.89339       5.75907       9.50387       10.4454    
                          4.11192      -13.2984      -68.7385      -31.1677      -13.3048      -5.48024      -2.03494     -0.477241    
                         0.525014       2.20322       5.36567       11.5416       24.9709       24.1881      0.634262       1.58558    
                          2.35329       4.05749       6.93704       8.84688       5.36777      -2.42306      -13.5495      -25.6574    
                         -17.0741      -8.98474      -4.34635      -2.04840     -0.864233       0.00000       1.18084       3.97913    
                          11.4358       28.0199       29.7691      0.928771       2.26681       3.28637       5.20952       7.51823    
                          7.40727       2.84817      -2.86434      -8.04259      -10.7254      -8.32549      -5.27872      -3.12538    
                         -1.78689     -0.977066     -0.258783      0.723688       3.19000       10.7678       29.6423       35.7077    
                          1.30697       3.14911       4.32119       6.22925       7.83067       6.39447       1.47296      -2.49344    
                         -4.58738      -5.00806      -4.05635      -2.89934      -2.02870      -1.38895     -0.915478     -0.394822    
                         0.402099       2.73578       10.2822       30.8692       40.2493       1.78148       4.14845       5.52129    
                          7.48511       8.97853       5.57957      3.309162E-02  -2.31531      -2.76168      -2.48814      -1.99128    
                         -1.53780      -1.20280     -0.970944     -0.719701     -0.373284      0.259733       2.45839       9.96436    
                          32.0047       42.5592       2.24418       5.32051       7.09592       9.92003       11.3315       3.79953    
                         -1.88029      -2.38899      -1.85742      -1.35320     -0.999194     -0.773371     -0.645189     -0.559698    
                        -0.497637     -0.278831      0.258078       2.30233       9.66697       32.2993       44.1374       2.76000    
                          6.62282       9.18418       13.5282       15.4888     -6.362019E-02  -4.89817      -2.71353      -1.45874    
                        -0.842903     -0.544836     -0.400437     -0.321764     -0.294021     -0.281813     -0.191849      0.259546    
                          1.93511       9.23379       33.0134       45.7718       3.19832       7.70084       10.8511       17.3491    
                          29.7071      -2.34347      -10.6063      -3.11811      -1.24354     -0.599173     -0.333218     -0.220722    
                        -0.158834     -0.134429     -0.122661     -6.017549E-02  0.270672       1.88389       8.93929       33.3157    
                          44.0075       3.35986       7.89895       10.1427       13.0296       13.4277       4.83339      -2.10113    
                         -1.40408     -0.749843     -0.388662     -0.213581     -0.123452     -8.557125E-02 -5.535163E-02 -5.870044E-02
                          0.00000      0.308607       1.93246       9.57233       33.6446       43.4829       3.15805       7.25315    
                          8.55383       9.60295       8.81617       4.84022      0.877073     -0.135398     -0.226464     -0.165163    
                        -9.079137E-02 -6.094730E-02 -3.408242E-02 -2.184278E-02   0.00000       0.00000      0.413616       2.12912    
                          9.43654       33.0076       37.5348       2.70537       6.06861       6.92567       7.42326       6.98362    
                          5.00484       2.47543       1.05124      0.455981      0.203811      0.119440      7.349549E-02  5.556580E-02
                         3.622027E-02  5.789634E-02  0.125664      0.695960       3.30072       10.0756       29.1817       29.9153    
                          2.01270       4.65544       5.38286       6.03484       6.13332       5.32356       3.83807       2.48032    
                          1.53663       1.01569      0.677016      0.494934      0.359475      0.332534      0.419403      0.584047    
                          1.93308       3.97723       12.0255       26.6821       21.0473       1.34233       3.12841       4.00399    
                          4.97412       5.75887       6.10121       5.70860       4.80026       3.91072       3.13308       2.54427    
                          2.13429       1.90086       1.91508       2.12859       3.28388       4.84489       6.33339       10.0726    
                          19.3309       12.5765      0.679777       1.82003       2.81559       4.25419       5.96393       7.72882    
                          8.94057       9.53280       9.67946       9.50853       9.05248       8.82084       8.95786       9.17566    
                          9.72240       10.6000       12.6241       12.6588       13.4086       11.8043       7.28930      0.205126    
                         0.779134       2.06071       4.24217       7.31793       11.0493       15.3014       19.2900       23.0583    
                          26.3140       28.9749       31.1041       32.3139       33.7888       33.6512       29.3402       25.6391    
                          17.3755       11.2192       6.93498       0.00000       0.00000      0.272367       1.20753       2.86711    
                          5.53693       9.20052       13.7653       19.3828       25.1490       31.3529       36.7962       40.5221    
                          42.5186       40.5967       36.6779       28.3806       20.9242       10.6980       6.58238       0.00000    
                          0.00000    

            p007t0000     0.00000       0.00000      4.427861E-02  0.127955      0.275942      0.493132      0.861545       1.39818    
                          2.26429       3.38349       4.71021       6.30899       7.95960       9.16066       9.42172       9.10606    
                          7.35699       4.98044       2.37925       0.00000       0.00000       0.00000      5.509286E-02  0.143581    
                         0.287303      0.584399       1.02661       1.77126       2.86949       4.42937       6.29399       8.55962    
                          11.1866       13.9692       16.2708       17.3101       16.3918       13.9096       10.4940       5.79424    
                          2.77910       0.00000      4.882890E-02  0.121937      0.236146      0.422861      0.765807       1.37740    
                          2.38797       3.65444       5.14402       6.72285       8.45137       10.3216       11.8073       12.8306    
                          13.1235       12.9399       11.7789       10.1099       7.49193       6.69043       3.27588      0.110194    
                         0.271943      0.411673      0.702586       1.27493       2.34113       3.85395       5.44284       6.65137    
                          7.62853       8.66685       9.20446       8.98376       8.50508       8.21593       8.42061       8.29142    
                          8.85163       10.2729       12.4059       9.50214      0.203628      0.498683      0.754210       1.29376    
                          2.46698       4.51159       6.62079       8.00389       8.51704       8.86512       8.63720       7.59514    
                          6.22674       5.02756       4.19768       4.12850       5.21907       7.68658       11.6714       20.1541    
                          16.5476      0.352961      0.891669       1.37724       2.47579       4.79923       7.79199       9.96113    
                          9.99621       9.55132       8.91489       7.29625       5.58960       4.07103       3.01171       2.48165    
                          2.36256       3.30483       6.13219       12.8240       26.9686       25.6110      0.617571       1.58558    
                          2.46865       4.43493       7.73237       10.8191       10.9145       9.57403       8.48369       7.08873    
                          5.46371       4.04012       2.97695       2.29669       1.94452       1.90661       2.53037       5.20347    
                          13.6140       33.4431       36.5348       1.06896       2.69305       4.10796       6.86431       10.5175    
                          12.4236       10.6456       8.68542       6.83388       5.12956       3.81777       2.91240       2.33237    
                          1.99110       1.77093       1.72522       2.31580       5.05083       14.1939       38.9585       46.2878    
                          1.75507       4.30717       6.26810       9.72585       13.5323       14.5292       11.1247       7.62486    
                          5.13924       3.52917       2.59340       2.05651       1.77511       1.64149       1.56170       1.65825    
                          2.27856       5.22285       14.9559       44.2180       56.3491       2.70294       6.51900       9.16884    
                          13.5742       18.9267       18.1811       10.6224       5.73180       3.31908       2.15320       1.58829    
                          1.36418       1.25874       1.28303       1.34344       1.56779       2.33760       5.16262       16.1328    
                          49.3045       65.2575       3.88683       9.37305       13.3189       20.5036       27.9486       20.8974    
                          7.24463       2.71775       1.42590       1.02357      0.861375      0.810198      0.817240      0.867532    
                         0.995274       1.32445       2.19366       5.37211       17.2988       55.0988       74.0877       5.30564    
                          12.9577       19.0151       30.2827       40.3091       22.8078      -1.51065      -1.56550     -0.525148    
                         8.027643E-02  0.345506      0.443341      0.474178      0.542808      0.669307      0.959245       1.94660    
                          5.52890       18.4676       60.5245       80.5584       6.74156       16.5401       24.1500       40.2452    
                          71.5271      -4.95391      -25.8581      -7.52380      -2.60367     -0.716657      4.596116E-02  0.257509    
                         0.303229      0.326471      0.429312      0.722106       1.62403       5.33768       19.2539       65.2987    
                          85.8146       7.63272       18.2373       23.8845       31.2123       30.2415      -5.92480      -13.1942    
                         -7.61972      -4.01803      -1.59226     -8.305930E-02  0.222213      0.242452      0.239857      0.264152    
                         0.493994       1.38873       5.41087       20.8851       68.9715       86.9657       7.68174       17.7299    
                          21.3152       24.1921       20.9008       5.67100      -4.69659      -6.58936      -6.24663      -4.60805    
                        -4.539568E-02  0.319973      0.255618      0.218428      0.209668      0.453606       1.44765       5.85509    
                          22.4118       70.4161       81.8941       6.86362       15.5900       18.0926       19.8132       18.3511    
                          11.1926       2.93958      -2.26674      -6.32674      -3.97431       1.50494      0.563465      0.305612    
                         0.217322      0.231585      0.502657       2.08788       7.42663       25.1891       67.1179       68.3778    
                          5.44612       12.4766       14.6106       16.7418       17.3138       14.9423       10.5130       6.93478    
                          6.23966       11.8791       2.70806      0.940375      0.539212      0.498801      0.699005       1.46012    
                          3.86617       10.6060       26.4560       57.1760       52.6183       3.67374       8.71486       11.1484    
                          14.1885       17.0262       18.3872       18.0359       16.8416       16.3762       16.8509       9.32901    
                          5.61655       4.24038       4.04294       4.96672       7.22453       10.9010       16.8890       26.8602    
                          43.4945       31.4412       1.95436       5.18710       7.96132       12.3475       17.8918       23.7720    
                          29.0569       33.1000       36.1174       37.0505       31.6837       26.9666       24.1173       23.9587    
                          25.1162       27.8250       29.4562       28.4823       26.8172       29.5106       14.5786      0.512814    
                          2.33740       6.06091       12.4614       22.1002       34.7728       49.7296       65.7520       81.3108    
                          93.7253       98.2137       98.3291       96.9417       94.1992       88.7167       78.9929       64.0978    
                          47.7828       28.0479       13.8700       0.00000       0.00000      0.680918       3.32071       8.43269    
                          16.8017       28.9159       45.1195       65.4168       88.0215       109.033       123.267       129.009    
                          126.407       115.295       98.5719       75.6817       54.4029       32.0941       13.1648       0.00000    
                          0.00000    

            p008t0000     0.00000      1.991917E-02  8.855722E-02  0.204728      0.398583      0.758664       1.38804       2.49241    
                          4.29434       7.07458       11.0829       16.4416       22.8175       28.2148       30.7446       29.2695    
                          23.7059       16.9335       9.51700       2.80200       0.00000      1.717358E-02  7.345714E-02  0.184604    
                         0.407013      0.788938       1.50326       2.79673       4.97769       8.34198       13.2555       20.3131    
                          29.8892       40.9443       50.8049       55.5746       53.4253       44.8197       32.4361       19.7004    
                          9.72683       3.30778      6.510521E-02  0.174196      0.295182      0.563815       1.06035       2.02783    
                          3.70379       6.23051       9.63598       14.1628       20.3759       28.3843       36.8227       43.5707    
                          44.8386       42.3036       37.2998       31.1723       24.6163       21.4094       13.1035      0.141678    
                         0.322932      0.509691      0.896403       1.65741       3.25157       5.72587       8.68262       11.8247    
                          15.5999       20.8840       26.4786       31.5193       34.5873       30.6230       28.0687       26.8252    
                          27.9167       30.8187       38.4584       28.5064      0.234955      0.584663      0.856131       1.50498    
                          2.95290       5.71818       8.87057       11.4038       13.3839       16.2105       19.2459       21.6715    
                          24.4700       28.5713       17.6902       13.6241       15.9834       22.5473       34.2361       55.9836    
                          46.6341      0.385049      0.963002       1.46469       2.65476       5.27915       8.91356       11.7597    
                          12.0522       12.1963       12.6685       12.2926       12.3601       15.5012       33.2916       10.3084    
                          6.56268       9.25353       17.6300       35.2659       71.9162       68.2959      0.634262       1.58558    
                          2.46865       4.40348       7.86492       11.3263       11.2723       9.51494       7.99542       5.89682    
                          3.10438     -0.422102      -5.83482      -9.93165     -0.432117       1.80626       5.22943       13.4678    
                          33.7627       81.3480       86.6011       1.01639       2.53805       3.84975       6.43529       9.99764    
                          11.8141       9.57170       6.79126       3.99805      0.979280      -2.48385      -6.96245      -14.0409    
                         -27.4159      -10.0149      -3.45044       1.30264       9.56999       30.8351       84.6924       100.511    
                          1.58703       3.86020       5.55582       8.55052       11.8723       12.3033       8.21756       4.19187    
                          1.13822      -1.31084      -3.59087      -6.06839      -9.12915      -11.9113      -8.13160      -4.57993    
                        -0.804198       6.46638       27.1075       84.2645       107.332       2.31388       5.50932       7.66985    
                          11.1683       15.1198       13.0570       5.72485       1.32707     -0.785432      -1.98573      -2.91581    
                         -3.89410      -5.03496      -5.96437      -5.37376      -3.95681      -1.55840       4.67094       24.1992    
                          82.1742       110.654       3.14648       7.53325       10.5312       15.7924       20.4196       11.7152    
                          1.16135      -1.51230      -1.95123      -1.99510      -2.05007      -2.22804      -2.55925      -2.91043    
                         -3.02729      -2.71860      -1.41943       3.58140       21.8779       78.8482       108.767       4.07301    
                          9.90543       14.2614       22.2171       27.9945       6.77555      -6.15704      -4.17466      -2.59656    
                         -1.80622      -1.42189      -1.25852      -1.25318      -1.35702      -1.47952      -1.53479     -0.908413    
                          3.04089       20.1989       77.0312       106.191       4.95426       12.0200       17.3544       28.6791    
                          51.1729      -4.03432      -19.4039      -6.23622      -2.78502      -1.53905     -0.999655     -0.748003    
                        -0.635336     -0.614533     -0.674634     -0.782281     -0.406008       3.13981       19.2539       74.6271    
                          101.217       5.33195       12.6615       16.4820       21.5763       22.2238       4.70866      -5.12857    
                         -3.30473      -1.88168      -1.10330     -0.676340     -0.456772     -0.342285     -0.295209     -0.293502    
                        -0.308746      0.154303       3.47842       20.0149       72.3360       95.1188       5.16384       11.8647    
                          14.1485       16.0665       14.6649       7.36869      0.763903     -0.767254     -0.792624     -0.561555    
                        -0.363165     -0.243789     -0.170412     -0.131057     -0.104834     -7.560108E-02  0.620423       4.25825    
                          21.2322       68.2156       81.8941       4.45885       10.0969       11.5965       12.6035       11.8772    
                          8.32623       3.98390       1.57686      0.598475      0.229287      9.555186E-02  4.899699E-02  5.556580E-02
                         7.244054E-02  0.115793      0.251329       1.39192       6.60145       23.5098       64.1998       68.3778    
                          3.43342       7.82114       9.09959       10.2527       10.5416       9.19524       6.61928       4.30260    
                          2.74731       1.76642       1.26376      0.940375      0.778862      0.748202      0.838806       1.46012    
                          3.86617       10.6060       24.0509       53.3642       52.6183       2.33141       5.36299       6.83034    
                          8.48046       10.0154       10.6144       10.0107       8.62420       7.08819       5.84278       4.80585    
                          4.15625       3.80172       3.83016       4.61196       6.56776       9.68978       16.8890       26.8602    
                          43.4945       31.4412       1.18961       3.18506       4.85446       7.36700       10.3817       13.4669    
                          15.7702       16.9472       17.4808       17.2137       16.9242       16.8856       16.8821       17.8416    
                          19.4448       22.5250       25.2482       25.3176       26.8172       29.5106       21.8679      0.410251    
                          1.44696       3.63654       7.42379       12.7332       19.4988       26.9596       34.4317       41.5049    
                          47.8975       53.0580       57.6931       61.8179       64.5059       64.2432       60.9374       51.2782    
                          39.0950       28.0479       13.8700       8.25735       0.00000      0.544734       2.11318       5.05961    
                          9.73736       16.2104       24.4716       34.5255       45.4901       57.0904       67.4597       75.2553    
                          79.2914       77.9457       71.0635       56.7613       46.0332       32.0941       19.7471       7.83853    
                          0.00000    

            p009t0000     0.00000      1.991917E-02  6.641791E-02  0.153546      0.306602      0.568998       1.00514       1.64135    
                          2.65468       3.99867       5.67996       7.64726       9.81684       11.7256       12.3970       11.7078    
                          9.80932       6.97261       3.56887       1.40100       0.00000      1.717358E-02  5.509286E-02  0.164092    
                         0.335187      0.642839       1.17327       2.05093       3.33798       5.16760       7.53371       10.4760    
                          13.8085       17.5820       20.5876       22.3210       21.2487       18.5461       13.3560       8.11194    
                          4.16864       1.65389      4.882890E-02  0.139357      0.255824      0.469846      0.854170       1.56870    
                          2.72911       4.25352       6.08588       8.06742       10.3037       12.7502       14.8091       16.3056    
                          17.1335       16.9214       15.7052       13.4799       10.7028       9.36661       4.91382      0.125936    
                         0.305936      0.470484      0.799495       1.43429       2.64461       4.40451       6.28518       7.83383    
                          9.17138       10.6508       11.4740       11.5723       11.1511       10.7056       10.8766       11.2178    
                          12.2561       14.0085       17.3683       12.6695      0.219291      0.550271      0.815362       1.39937    
                          2.69125       5.03620       7.45642       9.13718       9.96190       10.5537       10.6087       9.51924    
                          7.97460       6.62167       5.69685       5.57348       6.85003       10.2488       16.3400       26.8721    
                          22.5649      0.385049      0.963002       1.48655       2.68459       5.19189       8.55938       11.0679    
                          11.2723       11.0208       10.4789       8.96170       7.08541       5.32366       4.06988       3.34068    
                          3.28134       4.62677       8.43176       17.3124       35.9581       35.5708      0.650953       1.66019    
                          2.60708       4.68656       8.26259       11.7207       11.9284       10.5787       9.58230       8.21791    
                          6.58129       5.06522       3.92957       3.16571       2.66472       2.70939       3.54252       7.34608    
                          17.9705       45.1933       48.7131       1.10401       2.78992       4.27228       7.17076       11.0774    
                          13.2206       11.4394       9.37840       7.48472       5.78241       4.41573       3.54948       3.03209    
                          2.75691       2.50373       2.58783       3.32897       6.91166       19.0884       53.3562       63.4804    
                          1.79242       4.40876       6.41056       9.96092       13.9653       15.0958       11.4348       7.76941    
                          5.20823       3.63001       2.72640       2.35993       2.28229       2.35701       2.42332       2.60583    
                          3.48486       7.21250       21.0317       61.7384       77.8154       2.72342       6.54095       9.19383    
                          13.6336       18.9986       17.9533       10.0599       5.08238       2.73634       1.67471       1.30382    
                          1.28977       1.53846       1.90721       2.20708       2.53833       3.63627       7.62101       22.7757    
                          70.0643       92.2117       3.84056       9.22388       13.0655       20.1055       27.1120       18.7514    
                          5.22609       1.09587      0.112571     -5.204603E-02  6.890996E-02  0.331445      0.752721       1.37126    
                          1.82467       2.37006       3.61309       8.18607       25.4394       79.7982       107.191       5.11806    
                          12.4682       18.2713       29.0362       38.1292       15.7460      -4.96683      -3.84417      -2.34858    
                         -1.49849     -0.983363     -0.586354     -0.101610      0.814212       1.40907       1.98244       3.50388    
                          8.56979       27.7014       89.1362       120.838       6.36529       15.5356       22.6886       37.9635    
                          68.6906      -5.30988      -26.5570      -8.82689      -4.14515      -2.47893      -1.74652      -1.42243    
                         -1.15516      0.172837       1.19594       1.74509       3.38340       9.10546       30.2561       98.6144    
                          129.822       7.01188       16.7272       21.9623       28.8662       29.3074       1.65271      -9.26306    
                         -5.94167      -3.70677      -2.54511      -1.99342      -1.95054      -2.68123      -1.30999       2.23062    
                          1.85248       3.24037       9.27578       33.0681       105.981       133.166       6.91357       15.9390    
                          19.0958       21.7913       19.6106       8.52457     -0.452683      -2.34690      -2.24577      -1.84983    
                         -1.52832      -1.38655      -1.29513     -0.698969      0.314502      0.831612       2.68850       10.1133    
                          35.3870       107.825       122.841       6.06203       13.7067       15.7841       17.2497       16.2102    
                          11.0106       4.79615       1.41261      2.849882E-02 -0.407621     -0.501647     -0.489970     -0.305612    
                         0.108661      0.347378      0.879650       3.47980       12.3777       38.6232       102.136       106.840    
                          4.67656       10.7386       12.5600       14.2111       14.6305       12.7039       9.06674       5.77055    
                          3.53891       2.29634       1.62484       1.28683       1.31807       1.57954       1.81741       2.92024    
                          6.44361       17.2347       40.8866       87.6698       78.9274       3.17919       7.44860       9.42116    
                          11.9053       14.1051       14.9605       14.2301       12.3668       10.3471       8.72183       7.53859    
                          6.96452       6.87234       7.23474       8.51438       11.1652       16.9571       27.4447       43.6479    
                          67.6581       50.3059       1.69944       4.36808       6.69916       10.2723       14.6889       19.0878    
                          22.7240       24.8912       26.0045       26.5583       26.7638       27.7227       28.9408       31.6050    
                          34.8386       38.4250       42.0803       44.3059       40.2258       41.3149       29.1572      0.512814    
                          2.00349       5.09116       10.3403       18.0021       27.9483       38.9822       50.8178       62.3788    
                          73.6202       84.2907       93.8140       103.264       109.558       111.661       103.819       89.7369    
                          65.1583       39.2671       20.8049       8.25735       0.00000      0.680918       2.86788       7.08346    
                          13.7469       23.2204       35.6878       50.8798       68.4201       87.5074       106.096       121.566    
                          132.152       131.533       121.496       100.909       75.3271       48.1412       26.3295       7.83853    
                          0.00000    

            p010t0000     0.00000      1.991917E-02  6.641791E-02  0.153546      0.337262      0.606931       1.14873       2.18846    
                          3.90394       6.86952       11.4985       19.1181       31.0424       47.6354       65.4562       76.1006    
                          67.0304       46.8161       23.7925       7.00500       0.00000      1.717358E-02  5.509286E-02  0.143581    
                         0.311245      0.642839       1.24660       2.37722       4.33352       7.60375       12.6833       20.8242    
                          34.0842       54.4319       84.0107       121.626       151.169       132.141       92.5383       53.3070    
                          25.0119       8.26945      4.882890E-02  0.139357      0.236146      0.446354      0.854170       1.68348    
                          3.11898       5.39179       8.47676       12.9079       19.6813       29.7504       43.8270       64.6878    
                          100.614       159.758       123.024       90.9894       67.4274       54.8615       31.1209      0.110194    
                         0.254946      0.411673      0.702586       1.33868       2.64461       4.73485       7.19232       9.82924    
                          13.1142       17.8558       22.9481       28.0172       34.9653       57.7605       198.235       97.5461    
                          79.6646       81.2492       95.5256       68.0987      0.187964      0.447095      0.672674       1.18815    
                          2.35484       4.56405       7.07075       8.99552       10.2661       11.9890       13.1436       12.4560    
                          9.17625      0.245247      -30.2833      -75.3452       37.5121       57.9056       83.2560       129.882    
                          106.807      0.304830      0.766835       1.15863       2.08801       4.14479       7.02460       9.06186    
                          9.00368       8.59619       7.97648       5.78941       2.12562      -3.44472      -13.1050      -34.5522    
                         -84.7898      -28.6419       11.8811       59.6315       135.842       130.901      0.484042       1.24981    
                          1.93801       3.45987       6.14171       8.79053       8.58844       6.97368       5.37097       3.19934    
                         0.248351      -3.31651      -7.56145      -13.1594      -21.3898      -31.9106      -20.5804       0.00000    
                          40.8420       125.637       139.374      0.788579       1.99557       3.00468       5.02566       7.79816    
                          9.14189       7.28383       4.98950       2.74285      0.373059      -2.06987      -4.55062      -7.32365    
                         -10.5171      -13.9232      -16.6484      -13.1711      -1.86083       29.8562       110.100       137.541    
                          1.23229       3.02721       4.34493       6.69938       9.23802       9.51076       6.27946       3.14390    
                         0.827797     -0.941112      -2.42716      -3.84331      -5.39779      -7.19729      -9.04708      -10.1074    
                         -8.71215      -1.74095       23.3685       95.9448       128.798       1.82244       4.32405       5.99597    
                          8.73262       11.7798       10.1343       4.43428       1.04471     -0.532067      -1.38762      -2.01499    
                         -2.62914      -3.41258      -4.43860      -5.61366      -6.42048      -5.84400     -0.983356       19.4542    
                          83.9041       117.747       2.45241       5.89234       8.22225       12.3420       15.9326       9.18219    
                         0.967795      -1.11779      -1.44466      -1.45729      -1.49879      -1.63881      -1.91406      -2.40670    
                         -3.11023      -3.76422      -3.74213     -0.255815       16.7900       75.0483       107.191       3.18874    
                          7.74582       11.1892       17.4144       21.9138       5.40772      -4.76083      -3.21797      -1.99848    
                         -1.39146      -1.08967     -0.986790      -1.01610      -1.19870      -1.54997      -1.98244      -2.07637    
                         0.552890       15.5820       69.3281       98.8671       3.85680       9.40841       13.5913       22.4634    
                          40.0567      -3.17406      -15.2106      -4.88659      -2.18916      -1.22184     -0.804320     -0.613117    
                        -0.548700     -0.556921     -0.705299     -0.962808      -1.08269       1.25593       15.1280       63.9661    
                          90.2154       4.16330       9.91240       12.9238       16.9259       17.3976       3.58606      -4.08930    
                         -2.63694      -1.51383     -0.890162     -0.557684     -0.395046     -0.313761     -0.276758     -0.322852    
                        -0.432245     -0.308607       1.93246       14.7936       60.5604       78.8127       4.05425       9.26791    
                          11.0969       12.6039       11.4825       5.74325      0.537561     -0.631856     -0.660520     -0.478973    
                        -0.317770     -0.213316     -0.170412     -0.131057     -0.139779     -0.151202      0.206808       2.66140    
                          16.5139       57.2131       68.2451       3.50696       7.89965       9.07316       9.87987       9.27751    
                          6.50629       3.09429       1.21550      0.427482      0.152858      4.777593E-02  2.449850E-02  2.778290E-02
                         3.622027E-02  5.789634E-02  0.125664       1.04394       4.95109       18.4720       52.5271       55.5570    
                          2.66386       6.14518       7.11306       8.04645       8.24165       7.19890       5.17305       3.34084    
                          2.09541       1.36897      0.947822      0.692908      0.599125      0.498801      0.559204       1.16809    
                          2.57745       7.95447       19.2407       41.9290       42.0946       1.76622       4.17121       5.33866    
                          6.68652       7.84541       8.27425       7.85966       6.75291       5.54019       4.57261       3.76930    
                          3.25760       2.92440       2.97901       3.54766       4.59743       7.26734       12.6668       20.1452    
                          28.9963       25.1530      0.934693       2.45705       3.78648       5.70683       8.17280       10.5393    
                          12.2933       13.3724       13.7246       13.6070       13.3819       13.1053       13.4368       13.7635    
                          15.3938       17.2250       18.9361       18.9882       17.8782       17.7064       14.5786      0.307688    
                          1.11305       2.78802       5.70041       9.95239       15.2741       21.1305       26.9646       32.5243    
                          37.5493       41.7691       45.6528       48.4708       50.1713       50.4768       47.3957       41.6636    
                          30.4072       16.8288       6.93498       0.00000       0.00000      0.408551       1.66035       3.87904    
                          7.63715       12.7055       19.1185       26.9542       35.8743       44.9236       52.7412       59.5426    
                          62.0541       61.7070       55.0169       44.1476       33.4787       21.3961       13.1648       0.00000    
                          0.00000    

            p011t0000     0.00000      1.991917E-02  6.641791E-02  0.153546      0.337262      0.606931       1.10086       1.88451    
                          3.12316       4.92144       7.34239       10.3238       13.7966       17.2220       18.8434       18.8626    
                          16.3489       11.9531       5.94812       1.40100       0.00000      1.717358E-02  5.509286E-02  0.164092    
                         0.335187      0.672059       1.24660       2.23738       3.80647       6.12729       9.25025       13.4143    
                          18.7026       24.8075       30.5493       34.6203       35.2121       30.9101       23.8501       15.0650    
                          6.94774       1.65389      4.882890E-02  0.139357      0.255824      0.493338      0.913078       1.68348    
                          2.97278       4.85261       7.10020       9.86017       13.3138       17.3038       21.4132       24.8594    
                          27.3406       28.3683       26.8297       23.5898       19.2650       16.0570       9.82764      0.110194    
                         0.288939      0.470484      0.799495       1.46617       2.81803       4.78991       6.99793       9.01630    
                          11.0571       13.6790       15.7611       16.9017       17.3882       17.9257       19.2972       19.9970    
                          21.7886       25.2153       31.0148       22.1717      0.219291      0.533075      0.815362       1.39937    
                          2.72863       5.19358       7.84210       9.77466       11.0265       12.3267       13.2374       12.8611    
                          11.7980       10.6682       10.0445       10.3213       13.0477       18.4478       29.5676       49.2655    
                          42.1211      0.369005      0.927335       1.44282       2.59510       5.10463       8.55938       11.1371    
                          11.4850       11.4616       11.4173       10.3099       8.81740       7.35918       6.34901       6.20413    
                          6.95644       9.03321       15.7137       32.7011       68.9197       66.8731      0.617571       1.58558    
                          2.49172       4.46638       7.95329       11.3826       11.5705       10.2241       9.27713       7.90425    
                          6.33294       5.00492       4.16773       4.15888       4.96934       6.82365       8.26588       14.9982    
                          36.4855       89.4828       96.0731       1.03391       2.61555       3.99059       6.71109       10.4775    
                          12.4705       10.5989       8.40822       6.36899       4.52334       2.94382       1.91126       1.49272    
                          1.94005       3.96933       9.05741       9.84216       16.7475       41.6028       109.253       128.283    
                          1.66172       4.08369       5.91196       9.19696       12.8466       13.7198       10.0006       6.28780    
                          3.62161       1.81500      0.531980     -0.370846      -1.05058      -1.38895      0.269258       16.1877    
                          13.9394       20.8914       48.1392       127.648       156.972       2.47769       5.94831       8.34440    
                          12.2970       16.9874       15.4862       7.94199       3.27531       1.01346     -0.167471     -0.948230    
                         -1.68662      -2.82517      -5.40955      -13.6743      -13.0649       22.4669       25.5672       52.6687    
                          140.129       178.749       3.44725       8.27911       11.6857       17.7831       23.6137       15.0574    
                          3.04164     -0.394513      -1.16323      -1.37055      -1.55047      -1.91501      -2.77431      -4.86937    
                         -10.4089      -23.0733      -4.25829       10.7442       43.7557       138.697       184.431       4.52855    
                          11.0572       16.0723       25.3700       32.7368       10.6564      -5.85949      -4.26163      -2.72785    
                         -1.96677      -1.63451      -1.61605      -1.93058      -2.84974      -5.07264      -8.69716      -5.83980    
                          3.59378       34.6267       129.853       177.595       5.58138       13.5936       19.7658       32.9279    
                          59.2993      -4.68693      -22.8571      -7.52380      -3.49747      -2.05598      -1.44778      -1.21397    
                         -1.21292      -1.45952      -2.20789      -3.61053      -3.65407       1.88389       28.8808       119.936    
                          165.028       6.06235       14.4814       18.9358       24.8861       25.4932       3.64843      -6.84563    
                         -4.40060      -2.61738      -1.64241      -1.10350     -0.851817     -0.755879     -0.756472     -0.968557    
                         -1.54373      -1.85164       2.70544       26.9766       111.027       144.037       5.93201       13.6556    
                          16.3216       18.6057       16.9012       8.01887      0.367805      -1.33141      -1.28330     -0.974462    
                        -0.696067     -0.533289     -0.426030     -0.393170     -0.454280     -0.604809     -0.413616       4.25825    
                          28.3096       101.223       119.429       5.16024       11.6664       13.4218       14.6329       13.7633    
